0.625|0.869|1
0.795|0.843|1
0.665|0.715|1
0.665|0.715|1
0.789|0.848|1
0.629|0.758|1
0.549|0.698|1
0.649|0.698|1
0.697|0.750|1
0.551|0.652|1
0.564|0.606|1
0.643|0.691|1
0.612|0.628|1
0.452|0.655|1
0.589|0.766|1
0.585|0.629|1
0.751|0.839|1
0.587|0.432|2
0.684|0.453|2
0.612|0.480|2
0.719|0.598|2
0.519|0.338|2
0.515|0.382|2
0.572|0.345|2
0.516|0.387|2
0.860|0.735|2
0.556|0.387|2
0.644|0.501|2
0.429|0.420|2
0.639|0.329|2
0.801|0.583|2
0.677|0.432|2
0.548|0.324|2
0.629|0.412|2
0.619|0.399|2
0.535|0.343|2
